,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Species,Weight,Height,Width,Cluster_ID
0,0,0,0,Bream,242.0,11.52,4.02,0
1,1,1,1,Bream,290.0,12.48,4.3056,0
2,2,2,2,Bream,340.0,12.3778,4.6961,0
3,3,3,3,Bream,363.0,12.73,4.4555,0
4,4,4,4,Bream,430.0,12.444,5.1339999999999995,1
5,5,5,5,Bream,450.0,13.6024,4.9274,1
6,6,6,6,Bream,500.0,14.1795,5.2785,1
7,7,7,7,Bream,390.0,12.67,4.69,1
8,8,8,8,Bream,450.0,14.0049,4.8438,1
9,9,9,9,Bream,500.0,14.2266,4.9594,1
10,10,10,10,Bream,475.0,14.2628,5.1042,1
11,11,11,11,Bream,500.0,14.3714,4.8146,1
12,12,12,12,Bream,500.0,13.7592,4.368,1
13,13,13,13,Bream,340.0,13.9129,5.0728,0
14,14,14,14,Bream,600.0,14.9544,5.1708,1
15,15,15,15,Bream,600.0,15.437999999999999,5.58,1
16,16,16,16,Bream,700.0,14.8604,5.2854,1
17,17,17,17,Bream,700.0,14.937999999999999,5.1975,1
18,18,18,18,Bream,610.0,15.633,5.1338,1
19,19,19,19,Bream,650.0,14.4738,5.7276,1
20,20,20,20,Bream,575.0,15.1285,5.5695,1
21,21,21,21,Bream,685.0,15.9936,5.3704,1
22,22,22,22,Bream,620.0,15.5227,5.2801,1
23,23,23,23,Bream,680.0,15.4686,6.1306,1
24,24,24,24,Bream,700.0,16.2405,5.5889999999999995,1
25,25,25,25,Bream,725.0,16.36,6.0532,1
26,26,26,26,Bream,720.0,16.3618,6.09,1
27,27,27,27,Bream,714.0,16.517,5.8515,1
28,28,28,28,Bream,850.0,16.8896,6.1984,1
29,29,29,29,Bream,1000.0,18.957,6.603,2
30,30,30,30,Bream,920.0,18.0369,6.3063,1
31,31,31,31,Bream,955.0,18.084,6.292000000000001,1
32,32,32,32,Bream,925.0,18.7542,6.7497,1
33,33,33,33,Bream,975.0,18.6354,6.7473,2
34,34,34,34,Bream,950.0,17.6235,6.3705,1
35,35,35,35,Roach,40.0,4.1472,2.2680000000000002,0
36,36,36,36,Roach,69.0,5.2983,2.8217,0
37,37,37,37,Roach,78.0,5.5756,2.9044,0
38,38,38,38,Roach,87.0,5.6166,3.1746,0
39,39,39,39,Roach,120.0,6.216,3.5742,0
40,40,40,40,Roach,0.0,6.4752,3.3516,0
41,41,41,41,Roach,110.0,6.1677,3.3957,0
42,42,42,42,Roach,120.0,6.1146,3.2943,0
43,43,43,43,Roach,150.0,5.8045,3.7544,0
44,44,44,44,Roach,145.0,6.6339,3.5478,0
45,45,45,45,Roach,160.0,7.0334,3.8203,0
46,46,46,46,Roach,140.0,6.55,3.325,0
47,47,47,47,Roach,160.0,6.4,3.8,0
48,48,48,48,Roach,169.0,7.5344,3.8352,0
49,49,49,49,Roach,161.0,6.9153,3.6312,0
50,50,50,50,Roach,200.0,7.3968,4.1272,0
51,51,51,51,Roach,180.0,7.0866,3.906,0
52,52,52,52,Roach,290.0,8.8768,4.4968,0
53,53,53,53,Roach,272.0,8.568,4.7736,0
54,54,54,54,Roach,390.0,9.485,5.355,0
55,55,55,55,Whitefish,270.0,8.3804,4.2476,0
56,56,56,56,Whitefish,270.0,8.1454,4.2485,0
57,57,57,57,Whitefish,306.0,8.777999999999999,4.6816,0
58,58,58,58,Whitefish,540.0,10.744000000000002,6.562,1
59,59,59,59,Whitefish,800.0,11.7612,6.5736,1
60,60,60,60,Whitefish,1000.0,12.354000000000001,6.525,2
61,61,61,61,Parkki,55.0,6.8475,2.3265,0
62,62,62,62,Parkki,60.0,6.5772,2.3142,0
63,63,63,63,Parkki,90.0,7.4052,2.673,0
64,64,64,64,Parkki,120.0,8.3922,2.9181,3
65,65,65,65,Parkki,150.0,8.8928,3.2928,0
66,66,66,66,Parkki,140.0,8.5376,3.2944,0
67,67,67,67,Parkki,170.0,9.396,3.4104,0
68,68,68,68,Parkki,145.0,9.7364,3.1571,0
69,69,69,69,Parkki,200.0,10.3458,3.6636,0
70,70,70,70,Parkki,273.0,11.088,4.144,0
71,71,71,71,Parkki,300.0,11.368,4.234,0
72,72,72,72,Perch,5.9,2.112,1.4080000000000001,3
73,73,73,73,Perch,32.0,3.528,1.9992,3
74,74,74,74,Perch,40.0,3.824,2.432,3
75,75,75,75,Perch,51.5,4.5924,2.6316,3
76,76,76,76,Perch,70.0,4.588,2.9415,3
77,77,77,77,Perch,100.0,5.2224,3.3216,3
78,78,78,78,Perch,78.0,5.1992,3.1234,3
79,79,79,79,Perch,80.0,5.6358,3.0502,3
80,80,80,80,Perch,85.0,5.1376,3.0368,3
81,81,81,81,Perch,85.0,5.082,2.772,3
82,82,82,82,Perch,110.0,5.6925,3.555,3
83,83,83,83,Perch,115.0,5.9175,3.3075,3
84,84,84,84,Perch,125.0,5.6925,3.6675,3
85,85,85,85,Perch,130.0,6.3839999999999995,3.534,3
86,86,86,86,Perch,120.0,6.11,3.4075,3
87,87,87,87,Perch,120.0,5.64,3.525,3
88,88,88,88,Perch,130.0,6.11,3.525,3
89,89,89,89,Perch,135.0,5.875,3.525,3
90,90,90,90,Perch,110.0,5.5225,3.995,3
91,91,91,91,Perch,130.0,5.856,3.6239999999999997,3
92,92,92,92,Perch,150.0,6.792000000000001,3.6239999999999997,3
93,93,93,93,Perch,145.0,5.9532,3.63,3
94,94,94,94,Perch,150.0,5.2185,3.6260000000000003,3
95,95,95,95,Perch,170.0,6.275,3.725,3
96,96,96,96,Perch,225.0,7.292999999999999,3.7230000000000003,3
97,97,97,97,Perch,145.0,6.375,3.825,3
98,98,98,98,Perch,188.0,6.7334,4.1658,3
99,99,99,99,Perch,180.0,6.4395,3.6835,3
100,100,100,100,Perch,197.0,6.561,4.239,3
101,101,101,101,Perch,218.0,7.167999999999999,4.144,3
102,102,102,102,Perch,300.0,8.323,5.1373,3
103,103,103,103,Perch,260.0,7.1672,4.335,3
104,104,104,104,Perch,265.0,7.0516,4.335,3
105,105,105,105,Perch,250.0,7.2828,4.5662,3
106,106,106,106,Perch,250.0,7.8204,4.2042,3
107,107,107,107,Perch,300.0,7.5852,4.6354,3
108,108,108,108,Perch,320.0,7.6156,4.7716,3
109,109,109,109,Perch,514.0,10.03,6.018,4
110,110,110,110,Perch,556.0,10.2565,6.3875,4
111,111,111,111,Perch,840.0,11.4884,7.7957,2
112,112,112,112,Perch,685.0,10.880999999999998,6.864,4
113,113,113,113,Perch,700.0,10.6091,6.7408,4
114,114,114,114,Perch,700.0,10.835,6.2646,4
115,115,115,115,Perch,690.0,10.5717,6.3666,4
116,116,116,116,Perch,900.0,11.1366,7.4934,2
117,117,117,117,Perch,650.0,11.1366,6.002999999999999,4
118,118,118,118,Perch,820.0,12.4313,7.3514,4
119,119,119,119,Perch,850.0,11.9286,7.1064,2
120,120,120,120,Perch,900.0,11.73,7.225,2
121,121,121,121,Perch,1015.0,12.3808,7.4624,2
122,122,122,122,Perch,820.0,11.135,6.63,4
123,123,123,123,Perch,1100.0,12.8002,6.8684,2
124,124,124,124,Perch,1000.0,11.9328,7.2772,2
125,125,125,125,Perch,1100.0,12.5125,7.4165,2
126,126,126,126,Perch,1000.0,12.604000000000001,8.142000000000001,2
127,127,127,127,Perch,1000.0,12.4888,7.5958,2
128,128,128,128,Pike,200.0,5.568,3.3756,3
129,129,129,129,Pike,300.0,5.7078,4.158,3
130,130,130,130,Pike,300.0,5.9364,4.3844,3
131,131,131,131,Pike,300.0,6.2884,4.0198,3
132,132,132,132,Pike,430.0,7.29,4.5765,4
133,133,133,133,Pike,345.0,6.396,3.977,3
134,134,134,134,Pike,456.0,7.28,4.3225,4
135,135,135,135,Pike,510.0,6.825,4.459,4
136,136,136,136,Pike,540.0,7.7860000000000005,5.1296,4
137,137,137,137,Pike,500.0,6.96,4.896,4
138,138,138,138,Pike,567.0,7.792000000000001,4.87,4
139,139,139,139,Pike,770.0,7.68,5.376,4
140,140,140,140,Pike,950.0,8.9262,6.1712,2
141,141,141,141,Pike,1250.0,10.6863,6.9849,2
142,142,142,142,Pike,1600.0,9.6,6.144,5
143,143,143,143,Pike,1550.0,9.6,6.144,5
144,144,144,144,Pike,1650.0,10.812000000000001,7.48,5
145,145,145,145,Smelt,6.7,1.7388,1.0476,3
146,146,146,146,Smelt,7.5,1.972,1.16,3
147,147,147,147,Smelt,7.0,1.7284,1.1484,3
148,148,148,148,Smelt,9.7,2.1959999999999997,1.38,3
149,149,149,149,Smelt,9.8,2.0832,1.2772,3
150,150,150,150,Smelt,8.7,1.9782,1.2852,3
151,151,151,151,Smelt,10.0,2.2139,1.2838,3
152,152,152,152,Smelt,9.9,2.2139,1.1659,3
153,153,153,153,Smelt,9.8,2.2044,1.1484,3
154,154,154,154,Smelt,12.2,2.0904,1.3936,3
155,155,155,155,Smelt,13.4,2.43,1.2690000000000001,3
156,156,156,156,Smelt,12.2,2.2769999999999997,1.2558,3
157,157,157,157,Smelt,19.7,2.8728,2.0672,3
158,158,158,158,Smelt,19.9,2.9322,1.8792,3
